Location,State,County,Diversity-Index
"Aleutians West Census Area, AK", AK,Aleutians West Census Area,0.769346
"Queens County, NY", NY,Queens County,0.742224
"Maui County, HI", HI,Maui County,0.740757
"Alameda County, CA", CA,Alameda County,0.740399
"Aleutians East Borough, AK", AK,Aleutians East Borough,0.738867
"Hawaii County, HI", HI,Hawaii County,0.738772
"Fort Bend County, TX", TX,Fort Bend County,0.736427
"Kauai County, HI", HI,Kauai County,0.730326
"Solano County, CA", CA,Solano County,0.725821
"Honolulu County, HI", HI,Honolulu County,0.71441
"Robeson County, NC", NC,Robeson County,0.704067
"Gwinnett County, GA", GA,Gwinnett County,0.702974
"Yakutat City and Borough, AK", AK,Yakutat City and Borough,0.698748
"Santa Clara County, CA", CA,Santa Clara County,0.694312
"Kings County, NY", NY,Kings County,0.692349
"San Mateo County, CA", CA,San Mateo County,0.691029
"Manassas Park city, VA", VA,Manassas Park city,0.690899
"Dallas County, TX", TX,Dallas County,0.69039
"Montgomery County, MD", MD,Montgomery County,0.687803
"Sacramento County, CA", CA,Sacramento County,0.687281
"Contra Costa County, CA", CA,Contra Costa County,0.686497
"Hoke County, NC", NC,Hoke County,0.686301
"San Joaquin County, CA", CA,San Joaquin County,0.685223
"Cook County, IL", IL,Cook County,0.684969
"Harris County, TX", TX,Harris County,0.682123
"Prince William County, VA", VA,Prince William County,0.681277
"Hudson County, NJ", NJ,Hudson County,0.681081
"San Francisco County, CA", CA,San Francisco County,0.679829
"Middlesex County, NJ", NJ,Middlesex County,0.678917
"Wyandotte County, KS", KS,Wyandotte County,0.678912
"Broward County, FL", FL,Broward County,0.678237
"Clark County, NV", NV,Clark County,0.673066
"Orange County, FL", FL,Orange County,0.671218
"Union County, NJ", NJ,Union County,0.669656
"Kalawao County, HI", HI,Kalawao County,0.667849
"Essex County, NJ", NJ,Essex County,0.667286
"Kodiak Island Borough, AK", AK,Kodiak Island Borough,0.665746
"Orange County, CA", CA,Orange County,0.663094
"Manassas city, VA", VA,Manassas city,0.662891
"Los Angeles County, CA", CA,Los Angeles County,0.661865
"Jefferson County, TX", TX,Jefferson County,0.661628
"Suffolk County, MA", MA,Suffolk County,0.660503
"New York County, NY", NY,New York County,0.658205
"Waller County, TX", TX,Waller County,0.655844
"Bell County, TX", TX,Bell County,0.653821
"Durham County, NC", NC,Durham County,0.651831
"San Diego County, CA", CA,San Diego County,0.650181
"Philadelphia County, PA", PA,Philadelphia County,0.649776
"Fairfax County, VA", VA,Fairfax County,0.649676
"Bristol Bay Borough, AK", AK,Bristol Bay Borough,0.648271
"Sutter County, CA", CA,Sutter County,0.647059
"San Juan County, NM", NM,San Juan County,0.645004
"Tarrant County, TX", TX,Tarrant County,0.644473
"Mercer County, NJ", NJ,Mercer County,0.642078
"Yolo County, CA", CA,Yolo County,0.642001
"Alexandria city, VA", VA,Alexandria city,0.641095
"Cibola County, NM", NM,Cibola County,0.64104
"Brazoria County, TX", TX,Brazoria County,0.637752
"Cumberland County, NC", NC,Cumberland County,0.636081
"Mecklenburg County, NC", NC,Mecklenburg County,0.634781
"Liberty County, GA", GA,Liberty County,0.63442
"Sandoval County, NM", NM,Sandoval County,0.634152
"Cumberland County, NJ", NJ,Cumberland County,0.633302
"Scotland County, NC", NC,Scotland County,0.632352
"Passaic County, NJ", NJ,Passaic County,0.63216
"Potter County, TX", TX,Potter County,0.62912
"Fulton County, GA", GA,Fulton County,0.626907
"Hillsborough County, FL", FL,Hillsborough County,0.626423
"Riverside County, CA", CA,Riverside County,0.624784
"San Bernardino County, CA", CA,San Bernardino County,0.624636
"Travis County, TX", TX,Travis County,0.623218
"Cherokee County, OK", OK,Cherokee County,0.621119
"Milwaukee County, WI", WI,Milwaukee County,0.619602
"Falls County, TX", TX,Falls County,0.61956
"Fresno County, CA", CA,Fresno County,0.618892
"Sampson County, NC", NC,Sampson County,0.617255
"Jasper County, SC", SC,Jasper County,0.61602
"Greene County, NC", NC,Greene County,0.615762
"Newport News city, VA", VA,Newport News city,0.614894
"District of Columbia, DC", DC,District of Columbia,0.614376
"Howard County, MD", MD,Howard County,0.614333
"Adair County, OK", OK,Adair County,0.614293
"Duplin County, NC", NC,Duplin County,0.614029
"Wharton County, TX", TX,Wharton County,0.613554
"Muskogee County, OK", OK,Muskogee County,0.612919
"North Slope Borough, AK", AK,North Slope Borough,0.612887
"Matagorda County, TX", TX,Matagorda County,0.612762
"Norfolk city, VA", VA,Norfolk city,0.61266
"Comanche County, OK", OK,Comanche County,0.612108
"Cobb County, GA", GA,Cobb County,0.609575
"Hendry County, FL", FL,Hendry County,0.60928
"Socorro County, NM", NM,Socorro County,0.608129
"Graham County, AZ", AZ,Graham County,0.607962
"Jefferson Parish, LA", LA,Jefferson Parish,0.607961
"Hoonah-Angoon Census Area, AK", AK,Hoonah-Angoon Census Area,0.606696
"Denver County, CO", CO,Denver County,0.60615
"Osceola County, FL", FL,Osceola County,0.605921
"Westchester County, NY", NY,Westchester County,0.605911
"Oklahoma County, OK", OK,Oklahoma County,0.605322
"Navajo County, AZ", AZ,Navajo County,0.605139
"Atlantic County, NJ", NJ,Atlantic County,0.602527
"Lake County, IN", IN,Lake County,0.602447
"Coconino County, AZ", AZ,Coconino County,0.601825
"Stewart County, GA", GA,Stewart County,0.601801
"Anchorage Municipality, AK", AK,Anchorage Municipality,0.601515
"Stanislaus County, CA", CA,Stanislaus County,0.6011
"Rockdale County, GA", GA,Rockdale County,0.601064
